propuestas,organizador,facultad,nombre
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de Cantabria","Arturo Sacristán Lledó","Ciencias de la Educación","Universidad Católica San Antonio"
"Crear un programa de eficiencia energética en los edificios de la Universidad de La Coruña","Leocadia Escamilla Miralles",Veterinaria,"Universidad Pontificia Comillas"
"Hacer un huerto en Universidad de Las Palmas de Gran Canaria","Lorena Sarmiento Villalba",Química,"Universidad Tecnológica Atlántico-Mediterráneo"
"Promover curso de capacitación profesionales Universidad de La Rioja","Fulgencio Andreu Ortega","Ciencias Físicas y Matemáticas","Universidad Internacional Menéndez Pelayo"
"Hacer un huerto en Universidad Rovira i Virgili","Amanda Llabrés",Derecho,"Universidad Tecnológica Atlántico-Mediterráneo"
"Crear un programa de eficiencia energética en los edificios de la Universidad Católica San Antonio","Daniel Barros Fonseca","Ciencias de la Educación","Universidad de Murcia"
"Promover curso de capacitación profesionales Universidad Católica Santa Teresa de Jesús de Ávila","Eutropio Xavier Fabra Pi","Ciencias Sociales","Universidad Jaime I"
"Promover curso de capacitación profesionales Universidad Autónoma de Madrid","Gloria Gordillo",Medicina,"Universidad Internacional de Valencia"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Gerona","Gastón Armas Bou","Ciencias Sociales","Universidad Francisco de Vitoria"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Jaime I","Amelia Renata Portero Escolano",Química,"Universidad de Zaragoza"
"Promover el deporte en la vida universitaria Universidad Tecnológica Atlántico-Mediterráneo","Jacobo Ramos Arregui",Psicología,"Universidad de las Islas Baleares"
"Promover cursos de lenguas extranjeras Universidad de Deusto","Miguela Castillo",Odontología,"Universidad Politécnica de Cartagena"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de Oviedo","Lorena Giménez Manzano","Ciencias Económicas","Universidad CEU San Pablo"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Abierta de Cataluña","Alberto Ruano Quintanilla",Veterinaria,"Universidad Fernando III"
"Promover el deporte en la vida universitaria Universidad Jaime I","María Belén Contreras",Psicología,"Universidad Politécnica de Cartagena"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de Castilla-La Mancha","Marcial Leoncio Pinto Acevedo",Odontología,"Universidad Internacional de La Rioja"
"Promover el deporte en la vida universitaria Universidad Antonio de Nebrija","Elisa Viana Tejada",Matemática,"Universidad de León"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Eclesiástica San Dámaso","Blanca Roma Benavent","Ciencias de la Salud","Universidad de Málaga"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de Cádiz","Nazario España Boada",Psicología,"Universidad Politécnica de Madrid"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Católica de Valencia San Vicente Mártir","América del Bustamante","Ciencias Físicas y Matemáticas","Universidad Internacional de Andalucía"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Católica de Valencia San Vicente Mártir","Maricruz Calvo Talavera",Química,"Universidad de Deusto"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h CUNEF Universidad","Melania Gómez Salgado",Filosofía,"Universidad del País Vasco"
"Promover curso de capacitación profesionales Universidad Internacional Villanueva","Onofre Castro Bermudez",Matemática,"Universidad de Alicante"
"Promover curso de capacitación profesionales Universidad Internacional Menéndez Pelayo","Bonifacio Bilbao Múñiz",Agronomía,"Universidad Europea de Valencia"
"Hacer un huerto en Universidad de Huelva","María José Clemente-Abellán",Veterinaria,"Universidad Rey Juan Carlos"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Internacional Villanueva","Paco Agustín Alarcón",Filosofía,"Universidad Internacional de Andalucía"
"Promover cursos de lenguas extranjeras Universidad Antonio de Nebrija","Antonia Martirio Sanchez Zurita",Arquitectura,"Universidad de Córdoba"
"Promover cursos de lenguas extranjeras Universidad de las Islas Baleares","Reyes Colom Moraleda",Matemática,"Universidad de Jaén"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad CEU Cardenal Herrera","Guillermo Echeverría Solé",Derecho,"Universidad de Burgos"
"Promover curso de capacitación profesionales Universidad Autónoma de Madrid","Alfonso Manolo Tejera Jordán",Arquitectura,"Universidad Católica de Valencia San Vicente Mártir"
"Promover curso de capacitación profesionales Universidad Católica Santa Teresa de Jesús de Ávila","Eugenio Blasco Borrego","Educación Física","Universidad Intercontinental de la Empresa"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Autónoma de Madrid","Pancho Borja Suárez","Ciencias Sociales","Universidad Católica Santa Teresa de Jesús de Ávila"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad Pompeu Fabra","Esmeralda Salom Porta",Información,"Universidad Politécnica de Cartagena"
"Promover cursos de lenguas extranjeras Universidad de Huelva","Adalberto Pérez Carbajo",Odontología,"Universidad de Extremadura"
"Promover curso de capacitación profesionales Universidad Antonio de Nebrija","Jordi Múñiz Tello",Química,"Universidad Intercontinental de la Empresa"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de La Rioja","Victoriano Alemany Carro",Química,"Universidad Intercontinental de la Empresa"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Ramon Llull","Nazaret Daniel Luján Falcó",Psicología,"Universidad Miguel Hernández de Elche"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Antonio de Nebrija","Encarna Fuente Priego",Filosofía,"Universidad Tecnológica Atlántico-Mediterráneo"
"Crear un programa de eficiencia energética en los edificios de la Universidad de las Islas Baleares","Cleto Tamayo",Medicina,"Universidad de La Laguna"
"Hacer un huerto en Universidad Internacional Isabel I de Castilla","Rubén Cepeda Gimeno","Ciencias de la Salud","Universidad Europea de Madrid"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de Almería","Alejo Maldonado Arrieta",Ingeniería,"Universidad Católica de Valencia San Vicente Mártir"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Cantabria","Silvia Emelina Gracia Miralles",Agronomía,"Universidad de Barcelona"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad Miguel Hernández de Elche","Marcos Galindo Berrocal",Agronomía,"Universidad Europea Miguel de Cervantes"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Ramon Llull","Nicolasa Mendizábal-Juliá","Ciencias Económicas","Universidad Rey Juan Carlos"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad IE","Eusebia Espada-Sanabria",Medicina,"Universidad Fernando Pessoa-Canarias"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Abierta de Cataluña","Juana Andres Casares",Agronomía,"Universidad de Valencia"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Valladolid","Natalia Cortés Camacho",Veterinaria,"Universidad de Burgos"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de La Laguna","Francisco Jose Madrid-Vizcaíno",Matemática,"Universidad Abad Oliva CEU"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Sevilla","Félix Ciríaco Pou Morata",Psicología,"Universidad Rovira i Virgili"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Valladolid","Graciano Carmelo Cortes Llano","Educación Física","Universidad de Vigo"
"Promover curso de capacitación profesionales Universidad Intercontinental de la Empresa","Irene Tejero Ferrándiz","Ciencias Económicas","Universidad de Málaga"
"Promover curso de capacitación profesionales Universidad de León","Gervasio Vélez Ortiz",Veterinaria,"Universidad de Cantabria"
"Promover el deporte en la vida universitaria Universidad San Jorge","Fausto Cañizares Mayo",Veterinaria,"Universidad de Gerona"
"Promover cursos de lenguas extranjeras Universidad de Salamanca","Nazaret Bibiana Abril Carreras",Filosofía,"Universidad de Granada"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Internacional Menéndez Pelayo","Jaime Cózar Campos",Derecho,"Universidad de Almería"
"Promover curso de capacitación profesionales Universidad Carlos III de Madrid","Bruno Landa-Falcón","Ciencias Económicas","Universidad Europea Miguel de Cervantes"
"Promover cursos de lenguas extranjeras Universidad de Huelva","Nydia Carnero Collado",Odontología,"Universidad CEU Cardenal Herrera"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de León","Leticia Nerea Cisneros Vilar",Ingeniería,"Universidad de Valencia"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad Internacional de la Empresa","Salvador Redondo Aranda",Agronomía,"Universidad Politécnica de Valencia"
"Crear un programa de eficiencia energética en los edificios de la Universidad Internacional de La Rioja","Anselma del Araujo",Información,"Universidad de Extremadura"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad IE","Sara Cabello Chaves",Humanidades,"Universidad Politécnica de Valencia"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la European University Vitoria-Gasteiz","Fátima Carballo Angulo","Educación Física","Universidad de Almería"
"Promover el deporte en la vida universitaria Universidad de La Rioja","Paulino Cordero-Jordán",Comunicación,"Universidad de Almería"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Valencia","Seve Rebollo Gómez",Medicina,"Universidad Internacional de Cataluña"
"Promover curso de capacitación profesionales Universidad Carlos III de Madrid","Débora Pedro Oliver","Educación Física","Universidad de Valencia"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Vich","Marisa Sebastián Cánovas",Matemática,"Universidad de Córdoba"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de Oviedo","Candelario Lorenzo-Pou",Arquitectura,"Universidad Católica de Valencia San Vicente Mártir"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Mondragón","Ismael Granados Luís",Información,"Universidad Internacional de Cataluña"
"Crear un programa de eficiencia energética en los edificios de la Universidad de Salamanca","Macario Rosa-Garriga",Veterinaria,"Universidad de Castilla-La Mancha"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Jaime I","Federico Casal Lopez",Veterinaria,"Universidad Rey Juan Carlos"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Carlos III de Madrid","Felix Pérez Sanchez","Ciencias Económicas","Universidad Politécnica de Cataluña"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad a Distancia de Madrid","Teo Báez Tovar",Matemática,"Universidad de La Laguna"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Vich","Claudia Claudia Giralt Bautista","Ciencias Físicas y Matemáticas","Universidad Politécnica de Madrid"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Fernando III","Damián Durán Hoyos","Educación Física","Universidad IE"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Fernando III","Rubén Molina",Filosofía,"Universidad de La Rioja"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de Extremadura","Serafina Blanch Colomer",Psicología,"Universidad Eclesiástica San Dámaso"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Católica Santa Teresa de Jesús de Ávila","Charo Segura Isern",Información,"Universidad de Salamanca"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de Deusto","Saturnino Claudio Uría Higueras",Veterinaria,"Universidad Jaime I"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Internacional de la Empresa","Espiridión Bejarano-Zabaleta",Matemática,"Universidad Autónoma de Barcelona"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Oviedo","Zoraida Navarro Castañeda",Derecho,"Universidad Pontificia de Salamanca"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de Mondragón","Olegario de Luque","Ciencias Sociales","Universidad CEU San Pablo"
"Crear un programa de eficiencia energética en los edificios de la Universidad Politécnica de Madrid","Leire Mendizábal Borrell",Odontología,"Universidad Francisco de Vitoria"
"Promover el deporte en la vida universitaria Universidad IE","Santos Gilabert Piquer",Odontología,"Universidad de Castilla-La Mancha"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad IE","Eloy Galan Piña",Química,"Universidad de Valladolid"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Europea de Valencia","Eladio Sanz Isern",Filosofía,"Universidad Internacional de Cataluña"
"Hacer un huerto en Universidad Ramon Llull","Benigna del Maza","Ciencias Físicas y Matemáticas","Universidad Rey Juan Carlos"
"Hacer un huerto en Universidad de Huelva","Malena del Cobo",Información,"Universidad Nacional de Educación a Distancia"
"Hacer un huerto en Universidad Internacional Menéndez Pelayo","Armando Llorens Escolano",Química,"Universidad de Deusto"
"Promover cursos de lenguas extranjeras Universidad del País Vasco","Feliciana Barbero Macías","Ciencias Exactas","CUNEF Universidad"
"Hacer un huerto en Universidad Politécnica de Madrid","Leonardo de España",Agronomía,"Universidad de Murcia"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de La Laguna","Vilma Bonilla",Química,"Universidad de León"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Europea de Canarias","Juana Salinas Silva","Ciencias Económicas","Universidad Eclesiástica San Dámaso"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Nacional de Educación a Distancia","Elisa Carla Amorós Bou",Humanidades,"Universidad a Distancia de Madrid"
"Promover curso de capacitación profesionales Universidad de Almería","Noemí Piña-Guijarro","Ciencias de la Salud","Universidad de Santiago de Compostela"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Ramon Llull","Salud Asenjo Paz",Agronomía,"Universidad de Deusto"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Pública de Navarra","Calixto Camilo Nicolás Saez",Odontología,"Universidad Tecnológica Atlántico-Mediterráneo"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de Las Palmas de Gran Canaria","Quique Chaves-Abella",Diseño,"Universidad de Deusto"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Politécnica de Madrid","Carina de Muro","Ciencias Exactas","Universidad de Alcalá"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Granada","Pastora Román Torrecilla",Arquitectura,"Universidad Jaime I"
"Hacer un huerto en Universidad CEU San Pablo","Paulino Arévalo Novoa",Arquitectura,"Universidad Europea Miguel de Cervantes"
"Promover cursos de lenguas extranjeras Universidad de Oviedo","Anselma Viana Saura",Odontología,"Universidad de Almería"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Internacional Isabel I de Castilla","Hermenegildo Pombo Luís",Matemática,"Universidad de Jaén"
"Hacer un huerto en Universidad de Castilla-La Mancha","Nieves Costa Mancebo",Derecho,"Universidad de Almería"
"Hacer un huerto en Universidad Politécnica de Cartagena","Eugenio Granados Carreras","Educación Física","Universidad de Zaragoza"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Autónoma de Madrid","Marcio Adán Soriano",Arquitectura,"Universidad Miguel Hernández de Elche"
"Crear un programa de eficiencia energética en los edificios de la Universidad Internacional Isabel I de Castilla","Anunciación Palomares-Pinilla","Ciencias Exactas","Universidad de Vich"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad CEU Cardenal Herrera","Elba Ferrero Galvez",Química,"Universidad de Valencia"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad a Distancia de Madrid","Haroldo Marti Fuster","Ciencias de la Salud","Universidad de Huelva"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Las Palmas de Gran Canaria","Melania Prada Seco",Ingeniería,"Universidad IE"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad a Distancia de Madrid","Benita Herranz",Matemática,"Universidad Internacional de Valencia"
"Hacer un huerto en Universidad Pompeu Fabra","Irma del Canals","Ciencias Exactas","Universidad Internacional Menéndez Pelayo"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Diseño, Innovación y Tecnología","Herminio Gámez Cervera","Ciencias de la Educación","Universidad Fernando Pessoa-Canarias"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la European University Vitoria-Gasteiz","Joaquina Canet Donoso",Psicología,"Universidad Intercontinental de la Empresa"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Europea de Canarias","Lucho Marí Alberola","Ciencias Sociales","Universidad Europea de Canarias"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Internacional Menéndez Pelayo","Saturnino Mendizábal Gallart","Educación Física","Universidad Abad Oliva CEU"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de Mondragón","Evita Chelo Camacho Echevarría",Ingeniería,"Universidad Autónoma de Madrid"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad Católica San Antonio","Emma de Quiroga","Ciencias de la Salud","Universidad Internacional de la Empresa"
"Crear un programa de eficiencia energética en los edificios de la Universidad Europea Miguel de Cervantes","Eustaquio Bermudez Recio",Odontología,"Universidad Católica de Valencia San Vicente Mártir"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de Alcalá","Salud Manuel Verdejo",Química,"Universidad Pontificia Comillas"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h CUNEF Universidad","Edgardo Carbajo Amores","Ciencias Sociales","Universidad de Barcelona"
"Crear un programa de eficiencia energética en los edificios de la Universidad Autónoma de Madrid","Virgilio Mendez Ayuso",Derecho,"Universidad de Málaga"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de Diseño, Innovación y Tecnología","Rosalía Sobrino Alarcón","Ciencias Sociales","Universidad de Murcia"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Pablo de Olavide","Urbano Santana Teruel","Ciencias Sociales","Universidad Internacional Villanueva"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Lérida","Manuel Dimas Tejedor Bernal",Medicina,"Universidad de Extremadura"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Europea de Canarias","Gastón Candelario Expósito Blanca",Agronomía,"Universidad CEU San Pablo"
"Promover el deporte en la vida universitaria Universidad de Extremadura","Patricia Vendrell Sáez",Matemática,"Universidad de Burgos"
"Promover curso de capacitación profesionales Universidad Internacional Villanueva","Odalys de Aparicio",Arquitectura,"Universidad de Vigo"
"Hacer un huerto en Universidad Politécnica de Valencia","Cirino Blanch Amorós",Química,"Universidad de Zaragoza"
"Promover el deporte en la vida universitaria Universidad Loyola Andalucía","Adelaida Pera Julián",Matemática,"Universidad de Almería"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Camilo José Cela","Ovidio Escribano Palomar",Matemática,"Universidad Internacional de La Rioja"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Católica de Valencia San Vicente Mártir","Maxi Valenzuela Urrutia",Agronomía,"Universidad Pontificia de Salamanca"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Burgos","Cristian Barrio Bas",Ingeniería,"Universidad Politécnica de Cartagena"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Alfonso X el Sabio","María Belén Paola Blanco Gonzalo","Ciencias Exactas","Universidad Eclesiástica San Dámaso"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Francisco de Vitoria","Clara Posada","Ciencias Exactas","Universidad Alfonso X el Sabio"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Almería","Miguel de Redondo","Ciencias de la Salud","Universidad de Gerona"
"Crear un programa de eficiencia energética en los edificios de la Universidad de Deusto","Olga Losa Barrena",Odontología,"Universidad de Navarra"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Internacional de Valencia","Pancho García-Cardona",Filosofía,"Universidad Europea de Valencia"
"Promover el deporte en la vida universitaria Universidad de Las Palmas de Gran Canaria","Vera Oller Ayala",Ingeniería,"Universidad de Alcalá"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Internacional de la Empresa","Natanael Espejo Tomás","Ciencias de la Educación","Universidad de La Laguna"
"Hacer un huerto en Universidad Eclesiástica San Dámaso","Lorena Cerro Mosquera",Ingeniería,"Universidad Pública de Navarra"
"Promover cursos de lenguas extranjeras Universidad de Barcelona","Mireia Galván Pina",Diseño,"Universidad de Huelva"
"Crear un programa de eficiencia energética en los edificios de la Universidad de Cádiz","María Manuela Coronado-Abad",Derecho,"Universidad Europea de Canarias"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad Pompeu Fabra","Aurora Llobet Zamora","Ciencias Económicas","Universidad de Cádiz"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Murcia","Graciela Fidela Bilbao Terrón",Veterinaria,"Universidad San Jorge"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de Navarra","Maricruz Hoyos Rosselló","Ciencias Exactas","Universidad Jaime I"
"Promover el deporte en la vida universitaria Universidad de Navarra","Galo Saavedra Feliu","Ciencias Económicas","Universidad Europea de Valencia"
"Promover el deporte en la vida universitaria Universidad Antonio de Nebrija","Gabriel Victor Manuel Grau Angulo","Ciencias Físicas y Matemáticas","Universidad del País Vasco"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Las Palmas de Gran Canaria","Mauricio Trujillo-Requena",Filosofía,"Universidad de Vich"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de las Islas Baleares","Rita Jordán Solís",Medicina,"Universidad Internacional Villanueva"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Complutense de Madrid","Eutropio Palma",Veterinaria,"Universidad de Cantabria"
"Promover cursos de lenguas extranjeras Universidad Intercontinental de la Empresa","Gema Sancho Blasco",Información,"Universidad Europea Miguel de Cervantes"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad Alfonso X el Sabio","Luís Baena Gárate","Ciencias Exactas","Universidad de Salamanca"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Europea del Atlántico","Rebeca Amorós Berenguer",Ingeniería,"Universidad Internacional Menéndez Pelayo"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Europea de Madrid","Joaquina Canet Donoso",Psicología,"Universidad Intercontinental de la Empresa"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Politécnica de Madrid","Toni Quintana-Manuel",Información,"Universidad San Jorge"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Pontificia Comillas","Belén Baró","Ciencias Físicas y Matemáticas","Universidad Europea de Valencia"
"Crear un programa de eficiencia energética en los edificios de la Universidad Católica San Antonio","Felix Goyo Romero Costa",Medicina,"Universidad Complutense de Madrid"
"Promover el deporte en la vida universitaria Universidad Eclesiástica San Dámaso","Chuy de Palacio",Humanidades,"Universidad de Málaga"
"Promover el deporte en la vida universitaria Universidad Europea de Madrid","Pilar Salmerón Águila",Agronomía,"Universidad Ramon Llull"
"Hacer un huerto en Universidad de Burgos","Graciela Bello Herrera",Filosofía,"Universidad Carlos III de Madrid"
"Promover el deporte en la vida universitaria Universidad de Castilla-La Mancha","Jose Antonio Morales Garay",Agronomía,"Universidad de Las Palmas de Gran Canaria"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de Barcelona","Bautista Robles Agullo",Filosofía,"Universidad de La Laguna"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Pompeu Fabra","Hilda Landa Aller",Medicina,"Universidad de Extremadura"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Autónoma de Madrid","Espiridión Quiroga Agustí","Ciencias Exactas","Universidad Camilo José Cela"
"Crear un programa de eficiencia energética en los edificios de la ESIC Universidad","Elena Diaz Leal",Ingeniería,"Universidad de Murcia"
"Crear un programa de eficiencia energética en los edificios de la Universidad Carlos III de Madrid","Dafne Roura Luz",Medicina,"Universidad Internacional Menéndez Pelayo"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Internacional de La Rioja","Vicenta Robles Suárez","Ciencias de la Salud","Universidad de Lérida"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Internacional de Cataluña","Isaías Contreras Rebollo",Información,"Universidad de Málaga"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de León","Julio Tadeo Boada Prieto","Educación Física","Universidad Católica Santa Teresa de Jesús de Ávila"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Europea de Madrid","Tecla Santiago Nogueira","Ciencias Sociales","Universidad Ramon Llull"
"Promover curso de capacitación profesionales Universidad Internacional Villanueva","Juan Francisco Nicolás Arregui","Ciencias de la Salud","Universidad de Extremadura"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Pompeu Fabra","Clara Vall Badía",Medicina,"Universidad Ramon Llull"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Politécnica de Valencia","Agustina Rosselló Noriega","Ciencias Económicas","Universidad de Lérida"
"Promover el deporte en la vida universitaria Universidad de Córdoba","Felicidad Villanueva Bello",Medicina,"Universidad de Las Palmas de Gran Canaria"
"Promover curso de capacitación profesionales Universidad de Valencia","Ema Barros-Prat",Psicología,"Universidad a Distancia de Madrid"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Abierta de Cataluña","Jaime Iriarte",Química,"Universidad Católica de Valencia San Vicente Mártir"
"Promover curso de capacitación profesionales Universidad Pablo de Olavide","Emilio Sanjuan",Derecho,"Universidad Europea de Valencia"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Antonio de Nebrija","Bibiana del Andrade",Medicina,"Universidad Tecnológica Atlántico-Mediterráneo"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Internacional de Andalucía","Socorro Zabala Jordán",Información,"Universidad Loyola Andalucía"
"Promover cursos de lenguas extranjeras Universidad Jaime I","Osvaldo Sevillano-Camino",Química,"Universidad Ramon Llull"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Politécnica de Cartagena","Alfredo Carreño",Filosofía,"Universidad de Alcalá"
"Quitar las nuevas vallas de los jardines entre facultades European University Vitoria-Gasteiz","Calisto Valdés Vergara",Arquitectura,"Universidad de Málaga"
"Promover el deporte en la vida universitaria Universidad Alfonso X el Sabio","Maxi Pons-Sevillano","Ciencias Sociales","Universidad de Gerona"
"Promover curso de capacitación profesionales Universidad Europea de Canarias","Marcos Robles Pera",Información,"Universidad Internacional de La Rioja"
"Hacer un huerto en Universidad Europea de Madrid","Reinaldo Barberá Izquierdo",Matemática,"Universidad de Vigo"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Salamanca","Juan Carlos Carbajo Pujadas",Odontología,"Universidad Internacional Isabel I de Castilla"
"Hacer un huerto en Universidad Rovira i Virgili","Eli Gimenez Villalobos","Ciencias Físicas y Matemáticas","Universidad de La Laguna"
"Promover cursos de lenguas extranjeras Universidad Pública de Navarra","Emperatriz de Céspedes","Ciencias Sociales","Universidad de Jaén"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Alcalá","Atilio Grande Cánovas",Filosofía,"Universidad Católica de Valencia San Vicente Mártir"
"Promover cursos de lenguas extranjeras Universidad de Cádiz","Flora Arcos-Quintanilla",Psicología,"Universidad de Murcia"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de Almería","Carmelo Dueñas Pavón",Medicina,"Universidad Internacional Villanueva"
